decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
1,6,0.16246513632224105,0.6215449067875873,-1.5479799065466568,0.055000001622521735,0.01303486367775894,-0.022816420248241712,0.055000001622521735,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.15619124689302732,0.2920342683792114,0.3079657554626465,0.054985686044754,-0.00033981534219551865,-0.00026029451647218723,-0.01,0.0,0.0,0.0,-0.005421267761694271,0.0,0.038964308424392025,0.038964308424392025,false,false,in_progress
2,12,0.1630396039992935,0.6436811254992256,-1.5416457976217068,0.13813774788424973,0.012460396000706503,-0.0291505291731893,0.13813774788424973,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.15491824539129564,0.2920991778373718,0.3079008460044861,0.1380790605331533,-0.0003105229369888452,-0.0004248766755384803,-0.01,0.0,0.0,0.0,-0.0053332579169627576,0.0,0.1220104030036632,0.16097471142805522,false,false,in_progress
3,18,0.1641008762072518,0.6750226033367062,-1.532233721839223,0.1659804056634091,0.011399123792748184,-0.03856260495567368,0.1659804056634091,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.1436985346925857,0.2926713824272156,0.30732864141464233,0.1658570083418359,-0.0002598800464847955,-0.0007435372504836741,-0.01,0.0,0.0,0.0,-0.0045887260148696415,0.0,0.15026486502999775,0.311239576458053,false,false,in_progress
4,24,0.16560647604415782,0.7094354571889883,-1.5219660152666794,0.17530485614939556,0.00989352395584217,-0.04883031152821737,0.17530485614939556,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.12630768441665832,0.2935583293437958,0.30644169449806213,0.1750958992838202,-0.00019576363252964582,-0.0011921996619713789,-0.01,0.0,0.0,0.0,-0.0035452511846334467,0.0,0.1601626848046857,0.4714022612627387,false,false,in_progress
5,30,0.16751650695079287,0.7448634052484371,-1.5120480159310237,0.17842759896037305,0.007983493049207119,-0.05874831086387364,0.17842759896037305,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.10641475445069837,0.2945728600025177,0.3054271638393402,0.17811977821066016,-0.00012747232253347676,-0.0017256820146791666,-0.01,0.0,0.0,0.0,-0.0025164668110546754,0.0,0.16375015706239285,0.6351524183251316,false,false,in_progress
6,36,0.16978183914281195,0.7806172976000532,-1.5032370287459182,0.17947340322096983,0.005718160857188043,-0.06755929804897802,0.17947340322096983,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.08575281086603825,0.29562661051750183,0.3043734133243561,0.1790639774578294,-6.539472717735498e-5,-0.0022821293764353225,-0.01,0.0,0.0,0.0,-0.0016341208897795198,0.0,0.1650823324644372,0.8002347507895688,false,false,in_progress
7,42,0.17234504848943463,0.816467328775377,-1.4958531229721723,0.17982364382026267,0.003154951510565357,-0.07494320382272414,0.17982364382026267,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.06599881477435318,0.29663407802581787,0.30336594581604004,0.17931889183978122,-1.9907438068037257e-5,-0.002808241899607187,-0.01,0.0,0.0,0.0,-0.0009679652403137284,0.0,0.16552277726179226,0.9657575280513611,false,false,in_progress
8,48,0.17514954310149744,0.8523382638169518,-1.48994165958517,0.1799409408469881,0.00035045689850254913,-0.08085466720972642,0.1799409408469881,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.046833652840636814,0.2976115047931671,0.3023885190486908,0.17935308131162925,-2.45640075416052e-7,-0.0032687386047978045,-0.01,0.0,0.0,0.0,-0.0004874202341340648,0.0,0.16559667683262194,1.131354204883983,false,false,in_progress
9,54,0.1781408706420583,0.8882071718961697,-1.4854826969932682,0.1799802248348729,-0.002640870642058313,-0.08531362980162806,0.1799802248348729,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.029583222504491608,0.2984912693500519,0.30150875449180603,0.1793256365870757,-1.394839549617097e-5,-0.0036392077149646194,-0.01,0.0,0.0,0.0,-0.00019448157617241169,0.0,0.16547799890044249,1.2968322037844255,false,false,in_progress
10,60,0.18126768076527955,0.9240689099959696,-1.4823899390397426,0.17999338180621158,-0.005767680765279559,-0.08840638775515407,0.17999338180621158,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=0.01391595582015831,0.2992902994155884,0.30070972442626953,0.17929045362477927,-6.65322828203516e-5,-0.003907844697957327,-0.01,0.0,0.0,0.0,0.0,0.0,0.16531607664400158,1.4621482804284271,false,false,in_progress
11,66,0.18448320505507748,0.9599242756110282,-1.480493046333474,0.17999778836217453,-0.008983205055077492,-0.09030328046142264,0.17999778836217453,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-7.827615974606572e-5,0.3000040054321289,0.299996018409729,0.17926437455785776,-0.00016139594612313963,-0.004077341231047178,-0.01,0.0,0.0,0.0,0.0,0.0,0.16502563738068746,1.6271739178091147,false,false,in_progress
12,72,0.1877472870111006,0.9957757482573711,-1.479675688935576,0.17999926419596707,-0.012247287011100616,-0.09112063785932079,0.17999926419596707,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.3,w=-0.012437644393668373,0.30063432455062866,0.29936569929122925,0.17925251679241594,-0.00029999207826454774,-0.0041514853219447425,-0.01,0.0,0.0,0.0,0.0,0.0,0.16480103939220664,1.7919749572013213,false,false,in_progress
