decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
1,6,0.1624375943307125,0.6203174378990437,-1.547979905122768,0.03116666667546478,0.013062405669287486,-0.022816421672130913,0.03116666667546478,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.15619124689302732,0.16203424334526062,0.17796576023101807,0.031158554513954294,-0.0003412528837380677,-0.0002602945489602426,-0.01,0.0,-2.0,0.0,-0.005421267761694271,0.0,-1.9848642606804383,-1.9848642606804383,false,false,in_progress
2,12,0.16276312604627627,0.6328612948014165,-1.5416458006716034,0.0782780548473283,0.01273687395372372,-0.029150526123294628,0.0782780548473283,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.15491683567212855,0.16209924221038818,0.1779007613658905,0.07824479868963706,-0.00032445591622609144,-0.0004248765866324413,-0.01,0.0,0.0,0.0,-0.00533316147500118,0.0,0.06216230471177735,-1.922701955968661,false,false,in_progress
3,18,0.1633645402849741,0.6506214640653505,-1.5322265185495814,0.09405556041610459,0.012135459715025887,-0.03856980824531537,0.09405556041610459,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.14447677262915312,0.16263169050216675,0.17736831307411194,0.09398560914679716,-0.00029453876499003237,-0.0007438150540401987,-0.01,0.0,0.0,0.0,-0.004638563880238027,0.0,0.07830869144752892,-1.844393264521132,false,false,in_progress
4,24,0.16421819690143416,0.6701220588096031,-1.5219133682225485,0.09933941538693844,0.011281803098565857,-0.048882958572347736,0.09933941538693844,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.12916507598489568,0.16341258585453033,0.17658741772174835,0.09922075108516323,-0.00025455816230962033,-0.0011947718193929325,-0.01,0.0,0.0,0.0,-0.003707470824510395,0.0,0.08406395027895029,-1.7603293142421819,false,false,in_progress
5,30,0.16530284893089428,0.6901977689371761,-1.5118562059397473,0.10110896938013574,0.010197151069105709,-0.05894012085515006,0.10110896938013574,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.11038315968669007,0.16437046229839325,0.17562954127788544,0.10093339707856636,-0.0002079637798523274,-0.0017369689232098475,-0.01,0.0,0.0,0.0,-0.0027076538005800233,0.0,0.08628081057492416,-1.6740485036672577,false,false,in_progress
6,36,0.1665927136004597,0.7104579113258342,-1.5027961702105215,0.10170159157305038,0.008907286399540276,-0.06800015658437493,0.10170159157305038,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.09200268511812879,0.16530786454677582,0.17469213902950287,0.10146654700230937,-0.00015867950200687035,-0.0023120106477497546,-0.01,0.0,0.0,0.0,-0.0018809985703457132,0.0,0.08711485828220702,-1.5869336453850507,false,false,in_progress
7,42,0.16805792170152356,0.7307720096067825,-1.4950125830972847,0.10190006106876053,0.007442078298476401,-0.07578374369761191,0.10190006106876053,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.07488920722667727,0.16618065536022186,0.17381934821605682,0.10160758610407011,-0.00011076905880130681,-0.002871587904412667,-0.01,0.0,0.0,0.0,-0.0012463095744156766,0.0,0.08737891956644046,-1.4995547258186102,false,false,in_progress
8,48,0.1696699120009205,0.7510970722070993,-1.4884895524971649,0.10196652916051671,0.005830087999079497,-0.08230677429773206,0.10196652916051671,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.06185962350571231,0.1668451577425003,0.17315484583377838,0.10162134280854171,-6.797985215402155e-5,-0.0033872025476489034,-0.01,0.0,0.0,0.0,-0.0008503584239842629,0.0,0.08731580198475453,-1.4122389238338555,false,false,in_progress
9,54,0.17140335739173357,0.7714195430790023,-1.4831283694388107,0.10198879010078078,0.004096642608266449,-0.0876679573560855,0.10198879010078078,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.044261235011192945,0.16774268448352814,0.17225731909275055,0.1015971149241153,-3.356496131972826e-5,-0.0038428353734942127,-0.01,0.0,0.0,0.0,-0.0004353459976810649,0.0,0.0872853685916203,-1.3249535552422351,false,false,in_progress
10,60,0.1732334669350611,0.7917360245531185,-1.478986880466609,0.10199624590512311,0.0022665330649389026,-0.09180944632828708,0.10199624590512311,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.030573128994918902,0.1684407740831375,0.17155922949314117,0.10156668588692445,-1.0274344268922672e-5,-0.004214487217553313,-0.01,0.0,0.0,0.0,-0.00020771472374134548,0.0,0.08713420960136088,-1.2378193456408741,false,false,in_progress
