decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
1,6,0.1624373509744943,0.6203174433658958,-1.5482843738273626,0.031166666879644863,0.01306264902550569,-0.02251195296753331,0.031166666879644863,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.09371474813581639,0.16522054374217987,0.17477945983409882,0.031158769766367958,-0.0003412655991270895,-0.00025339401320621585,-0.01,0.0,-2.0,0.0,-0.001951656580404415,0.0,-1.9813875464263697,-1.9813875464263697,false,false,in_progress
2,12,0.16274337016687876,0.6328618049201253,-1.5444813475337638,0.07827805865600632,0.01275662983312123,-0.026314979261131532,0.07827805865600632,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.09322500820037623,0.16524553298950195,0.17475447058677673,0.07825095729800868,-0.00032546320939855715,-0.00034623906675689133,-0.01,0.0,0.0,0.0,-0.0019313116535357847,0.0,0.06564794336831746,-1.9157396030580522,false,false,in_progress
3,18,0.1632612170599694,0.6506246491713781,-1.5387957237532541,0.09405556726493565,0.012238782940030585,-0.03200060304164282,0.09405556726493565,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.08927495390166064,0.16544698178768158,0.1745530217885971,0.09400741310897727,-0.00029957561570636735,-0.0005120192975143998,-0.01,0.0,0.0,0.0,-0.001771114834581897,0.0,0.0814247033611746,-1.8343148996968777,false,false,in_progress
4,24,0.1639475012765499,0.6701319056708193,-1.5324685346555182,0.09933942290094656,0.011552498723450128,-0.0383277921393796,0.09933942290094656,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.08353703473502673,0.16573961079120636,0.17426039278507233,0.09926646605071204,-0.00026692045351063364,-0.0007345098251397442,-0.01,0.0,0.0,0.0,-0.0015507635921915039,0.0,0.08671427217987017,-1.7476006275170075,false,false,in_progress
5,30,0.16478220161995139,0.6902196118453066,-1.5261087150984023,0.10110897582421083,0.010717798380048604,-0.04468761169649331,0.10110897582421083,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.07623907216047984,0.1661118119955063,0.1738881915807724,0.10100803618908888,-0.00022974240423074497,-0.0009984913195682829,-0.01,0.0,0.0,0.0,-0.0012916435704116468,0.0,0.08848815889487821,-1.6591124686221292,false,false,in_progress
6,36,0.16575106922450578,0.7104976786927883,-1.520080119430021,0.10170159606879979,0.009748930775494213,-0.050716207364875775,0.10170159606879979,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.06899859329762646,0.16648107767105103,0.17351892590522766,0.10157082905083152,-0.0001900833025307564,-0.00128606684473854,-0.01,0.0,0.0,0.0,-0.0010579567638681927,0.0,0.08903672213969403,-1.5700757464824353,false,false,in_progress
7,42,0.1668408829946652,0.7308353964912173,-1.514530220415929,0.10190006383737195,0.008659117005334754,-0.0562661063789676,0.10190006383737195,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.06198721812151081,0.1668386608362198,0.1731613427400589,0.10173880496949468,-0.00014996061462415505,-0.001582937363524649,-0.01,0.0,0.0,0.0,-0.000853870030075461,0.0,0.08915203696127041,-1.480923709521165,false,false,in_progress
8,48,0.1680397111632888,0.7511890223827604,-1.5094796922937572,0.10196653065114031,0.007460288836711182,-0.06131663450113906,0.10196653065114031,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.05638736542217105,0.16712424159049988,0.1728757619857788,0.10177490740491994,-0.00011131181905431496,-0.0018798648332731386,-0.01,0.0,0.0,0.0,-0.0007065633147433914,0.0,0.0890771674378491,-1.3918465420833157,false,false,in_progress
9,54,0.16933693370015784,0.7715440008317295,-1.5049164829915245,0.10198879062438192,0.006163066299842174,-0.06587984380337172,0.10198879062438192,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.04808916103937659,0.16754744946956635,0.17245255410671234,0.10176754714138848,-7.596677243250061e-5,-0.0021700769097783277,-0.01,0.0,0.0,0.0,-0.0005139038789418768,0.0,0.08900759958023578,-1.30283894250308,false,false,in_progress
10,60,0.17072161279117673,0.7918956941747192,-1.5009005557426616,0.10199624576725347,0.004778387208823259,-0.0698957710522357,0.10199624576725347,0,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.041716703566349836,0.16787244379520416,0.17212755978107452,0.10174719999423985,-4.566596863489148e-5,-0.0024427094054932747,-0.01,0.0,0.0,0.0,-0.00038672961096017675,0.0,0.08887209500915151,-1.2139668474939285,false,false,in_progress
