solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
dpw@1k,,1001,116,-250.43153176746426,-93.15623141596656,9.940699926980567,0.038367640124178204,0.15112745769379113,0.2144115687141363,0.0888651936231787,0.0,true,false,false,false,false,0,1,1,28,0,0,0,offroad
dpw@1k,,1002,79,-207.83694010954028,-96.19477922946218,5.578595677928124,0.08502081301238534,0.11640904246359057,0.2854176195916812,0.07558264446298071,0.0,false,true,false,false,false,0,0,0,34,0,0,0,other_collision
dpw@1k,,1003,101,-253.22158397446418,-105.15050562171923,9.202303117051846,0.06858414731035944,0.17794072513314885,0.32123605971470415,0.09923232223665768,0.0,true,false,false,false,false,0,1,1,26,0,0,0,offroad
dpw@1k,,1004,80,-221.29714722709537,-106.3251226669106,5.528781986022149,0.10023833203105378,0.16769794065955032,0.3740535230758072,0.0762052578115174,0.0,false,true,false,false,false,0,0,0,35,0,0,0,other_collision
dpw@1k,,1005,107,-246.01490214103563,-94.3013385655521,9.91108447975628,0.04571738046393638,0.1498739505724396,0.2937461333292442,0.09831280717806021,0.0,true,false,false,false,false,0,1,1,24,0,0,0,offroad
dpw@1k,,1006,78,-211.59061810480313,-100.5204281912941,6.245680152772695,0.06606904342087416,0.1432555635720656,0.31725544724718296,0.08612391413835747,0.0,false,true,false,false,false,0,0,0,31,0,0,0,other_collision
dpw@1k,,1007,48,-191.8868208094315,-120.41985214749585,3.2659812179749244,0.07642403110708812,0.16945495729903456,0.30248217095625624,0.07157470069165617,0.0,true,false,false,false,false,1,0,0,26,0,0,0,offroad
dpw@1k,,1008,65,-202.43448983026502,-108.39455080895983,5.19373001506109,0.07812748999653134,0.16158545152157427,0.5022726218962631,0.09049778659579105,0.0,false,true,false,false,false,1,0,0,32,0,0,0,other_collision
dpw@1k,,1009,135,-251.18840482237454,-76.97965931728291,11.375316428612532,0.0645804286545485,0.13950921286701384,0.2897089555091848,0.08970360824110661,0.0,true,false,false,false,false,0,1,1,31,0,0,0,offroad
dpw@1k,,1010,150,-93.28760098830105,-46.68305964664296,13.408733391619123,0.09611671865106386,0.25,0.31478210197011924,0.09737025928602616,0.0,false,false,false,false,false,0,1,1,34,0,7,1,in_progress
dpw@1k,,1011,42,-202.15993023207548,-134.4155078808988,3.2386942311152938,0.06970864678566667,0.16154637602583222,0.2963514072749801,0.08156617696503002,0.0,true,false,false,false,false,0,0,0,23,0,0,0,offroad
dpw@1k,,1012,50,-196.40920987694665,-120.6968029783904,3.3424292697766282,0.06671777038646803,0.18350226978683176,0.49504257043449906,0.07638013427920352,0.0,true,false,false,false,false,1,0,0,23,0,0,0,offroad
dpw@1k,,1013,95,-220.84206582954232,-92.71981979259441,7.932190967967581,0.14586544706452587,0.25,0.4944153291066698,0.09832662704049074,0.0,true,false,false,false,false,0,0,0,0,0,0,0,offroad
dpw@1k,,1014,58,-204.31129213430816,-115.26491629046716,5.260154391111534,0.05862466808286247,0.1242152224930062,0.37922423592415877,0.09876101564876147,0.0,false,true,false,false,false,0,0,0,27,0,0,0,other_collision
dpw@1k,,1015,122,-249.94201420151828,-84.85095636370177,10.891222121910156,0.0633660392473629,0.1462968223216727,0.2887618583012434,0.09562701116108384,0.0,true,false,false,false,false,0,1,1,18,0,0,0,offroad
dpw@1k,,1016,108,-254.11362882663803,-100.16674651233573,9.646396184989825,0.06986357501853659,0.15116157113963227,0.3629046178546299,0.0973305720656583,0.0,true,false,false,false,false,0,1,1,22,0,0,0,offroad
dpw@1k,,1017,57,-205.76695562563933,-117.59348877680962,5.1590214525720945,0.05307497155929217,0.1480369674963553,0.2937803452707682,0.09737443618377982,0.0,false,true,false,false,false,0,0,0,24,0,0,0,other_collision
dpw@1k,,1018,68,-195.7169248541476,-101.38777027216075,5.2128767696529055,0.06780060852779066,0.13661073174250038,0.3114820715854844,0.08123710625131006,0.0,true,false,false,false,false,1,0,0,30,0,0,0,offroad
dpw@1k,,1019,47,-209.5049914413272,-132.08498334830432,3.24984333958519,0.04814165157861034,0.16353497580442958,0.5488751762095018,0.08318169626486627,0.0,true,false,false,false,false,0,0,0,21,0,0,0,offroad
dpw@1k,,1020,107,-221.3215279106203,-83.30345302823824,9.021803101889274,0.12552226737782549,0.25,0.43070634423014953,0.0949431596602399,0.0,true,false,false,false,false,0,0,0,0,0,0,0,offroad
mcts@1k,,1001,150,8.897808496670898,4.3327974893355705,15.993085876560496,0.04005731377467291,0.1131923307584788,0.20742612358058285,0.11015166172424344,0.24,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1002,150,10.62221490064154,5.6026107371093286,17.37046651780645,0.039075474769142436,0.08411662386098942,0.18495266941185035,0.12052820081990828,0.23333333333333334,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1003,150,15.422689654762708,11.350868091577285,16.908468898402393,0.10028022243144566,0.25,0.3005101500943,0.12049283527583109,0.23333333333333334,false,false,false,false,false,1,0,1,17,1,7,1,in_progress
mcts@1k,,1004,150,7.837518796518859,3.556722968125715,15.404369933761856,0.054316290179788826,0.13998422049571885,0.20713373349997538,0.10669302024238124,0.30666666666666664,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@1k,,1005,150,2.505151248393183,2.8539709685364167,16.241180844901052,0.04360557850500321,0.15352842534872657,0.3122591658135186,0.11807883993941656,0.2733333333333333,false,false,false,false,false,0,0,0,0,1,7,1,in_progress
