solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
mcts@500,discrete online planning,1001,60,4.001555153526784,3.0747128488207194,6.973012534731354,0.04241244632168139,0.06269879474091905,0.1938392676996203,0.12154710570654562,0.16666666666666666,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
mcts@500,discrete online planning,1002,60,4.773172763412361,3.4573210948177153,6.960882642522155,0.046495803888598995,0.07972644351304053,0.15274851449782462,0.11908791967828992,0.23333333333333334,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
mcts@500,discrete online planning,1003,60,18.63751413154062,13.239583433572262,6.853794929928872,0.04942041347441397,0.09888803744331043,0.23957499309022753,0.11799827191829326,0.21666666666666667,false,false,false,false,false,1,0,1,22,0,0,0,in_progress
mcts@500,discrete online planning,1004,60,4.704260549720061,3.5406944476691518,7.08270134570201,0.07418416278084303,0.18277221514789366,0.13111535659716658,0.11989685012629812,0.18333333333333332,false,false,false,false,false,0,0,0,0,0,7,1,in_progress
mcts@500,discrete online planning,1005,60,2.8814231387768148,2.3147316534409166,6.7350405851092825,0.1142078028525926,0.25,0.16813417171064604,0.11521799073948821,0.3,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
dpw@500,continuous online planning,1001,43,-206.33005410159655,-136.04142940047495,3.2664321188385697,0.05666386945996905,0.14800994982029497,0.39322825121627153,0.08267884169646779,0.0,true,false,false,false,false,0,0,0,26,0,0,0,offroad
dpw@500,continuous online planning,1002,60,-9.945886054021864,-7.059036578455627,4.710220106811453,0.07308791782472496,0.13219673207846583,0.4166730896685644,0.0873849458702318,0.0,false,false,false,false,false,0,0,0,24,0,0,0,in_progress
dpw@500,continuous online planning,1003,37,-199.2176621138733,-138.3999734820037,3.34264785420968,0.0723250784952564,0.16115561761666358,0.23338808368110842,0.09386835949909203,0.0,true,false,false,false,false,0,0,0,18,0,0,0,offroad
dpw@500,continuous online planning,1004,53,-216.57226865230865,-129.96900920965857,4.812669822132505,0.11509222227223981,0.2462052127249938,0.6234163288522995,0.11277989254463891,0.0,false,true,false,false,false,0,0,0,27,0,0,0,other_collision
dpw@500,continuous online planning,1005,47,-194.2934552885052,-123.22841656480631,3.5210318220267944,0.07791729519102827,0.22770221889596298,0.3724659583261961,0.08243685077884856,0.0,true,false,false,false,false,1,0,0,14,0,0,0,offroad
mcts@1000,discrete online planning,1001,60,2.578910716098987,2.0931654773630637,6.33738100953333,0.031087560226012653,0.1131923307584788,0.2623133070085989,0.11101990572341777,0.21666666666666667,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
mcts@1000,discrete online planning,1002,60,4.44792172428813,3.309462898698476,5.818882092542751,0.04591033070877107,0.06121741331639552,0.09731925935231052,0.0978795302871024,0.2833333333333333,false,false,false,false,false,0,0,0,0,0,0,0,in_progress
